"country","year","region","distribution","treatment","dalys_averted","doses","daly","dalys_averted_country","dalys_monetized_1","doses_country","sub_region","n_t_cost","mode_country_t","mini_t_price_country","maxi_t_price_country","mode_sub_region_t","mini_t_price_sub_region","maxi_t_price_sub_region","mode_region_t","mini_t_price_region","maxi_t_price_region","mode_global_t","mini_t_price_global","maxi_t_price_global","n_rdt","mode_country_rdt","mini_rdt_price_country","maxi_rdt_price_country","mode_sub_region_rdt","mini_rdt_price_sub_region","maxi_rdt_price_sub_region","mode_region_rdt","mini_rdt_price_region","maxi_rdt_price_region","mode_global_rdt","mini_rdt_price_global","maxi_rdt_price_global","average_model_prediction","average_mean_value_from_sample","average_high_95_unc_interval","average_low_95_unc_interval","average_sd","mode_country_rdt_imputed","mini_rdt_price_country_imputed","maxi_rdt_price_country_imputed","mode_country_t_imputed","mini_t_price_country_imputed","maxi_t_price_country_imputed"
"India",2018,"Asia",0.549027382158386,"ASMQ",69215.6311931873,330000,6520,38001.276798436,247768324.725803,181179.036112267,"Southern Asia",NA,0.621575419832576,0.3003452428631,0.621575419832576,NA,NA,NA,0.621575419832576,0.3003452428631,0.621575419832576,0.50546513140785,0.3003452428631,0.50546513140785,NA,0.4102397770895,0.261061676329682,1.30928646433534,NA,NA,NA,0.4102397770895,0.261061676329682,1.30928646433534,0.472397319072757,0.161858239324403,1.66184404246437,10.0434746254205,10.0434746254205,29.9864314085136,2.06989172387699,7.59560267370513,0.4102397770895,0.261061676329682,1.30928646433534,0.621575419832576,0.3003452428631,0.621575419832576
"India",2016,"Asia",0.683447869434681,"ASMQ",41948.8673898105,200000,5660,28669.864042764,162271430.482044,136689.573886936,"Southern Asia",NA,0.682029985455064,0.682029985455064,0.682029985455064,NA,NA,NA,0.682029985455064,0.682029985455064,0.682029985455064,0.682029985455064,0.682029985455064,0.682029985455064,NA,0.463780390109443,0.192059643904146,1.43226296945563,NA,NA,NA,0.463780390109443,0.192059643904146,1.43226296945563,0.463780390109443,0.192059643904146,1.43226296945563,10.0434746254205,10.0434746254205,29.9864314085136,2.06989172387699,7.59560267370513,0.463780390109443,0.192059643904146,1.43226296945563,0.682029985455064,0.682029985455064,0.682029985455064
"India",2020,"Asia",0.469379017031584,"ASMQ",44675.5437701482,213000,6430,20969.7628201836,134835574.933781,99977.7306277273,"Southern Asia",NA,0.5620457238,0.5620457238,0.71188711376508,NA,NA,NA,0.5620457238,0.5620457238,0.71188711376508,NA,NA,NA,NA,0.37274872402416,0.24100520636544,0.8857840607088,NA,NA,NA,0.37274872402416,0.24100520636544,0.8857840607088,0.16861371714,0.0089927315808,0.8857840607088,10.0434746254205,10.0434746254205,29.9864314085136,2.06989172387699,7.59560267370513,0.37274872402416,0.24100520636544,0.8857840607088,0.5620457238,0.5620457238,0.71188711376508
"India",2012,"Asia",0.624724240760449,"ASMQ",0,0,4770,0,0,0,"Southern Asia",NA,0.504195983948171,0.504195983948171,0.504195983948171,NA,NA,NA,0.504195983948171,0.504195983948171,0.504195983948171,0.504195983948171,0.504195983948171,0.504195983948171,NA,1.03557583352641,0.477659353214057,2.31337932686361,NA,NA,NA,1.03557583352641,0.477659353214057,2.31337932686361,1.03557583352641,0.0118120368511606,2.91255703179303,10.0434746254205,10.0434746254205,29.9864314085136,2.06989172387699,7.59560267370513,1.03557583352641,0.477659353214057,2.31337932686361,0.504195983948171,0.504195983948171,0.504195983948171
"India",2021,"Asia",0.473520964133651,"ASMQ",20974.4336949052,100000,7220,9931.83406536887,71707841.9519632,47352.0964133651,"Southern Asia",NA,0.539205,0.539205,0.539205,NA,NA,NA,0.539205,0.539205,0.539205,NA,NA,NA,NA,0.3558753,0.2480343,0.7009665,NA,NA,NA,0.3558753,0.2480343,0.7009665,0.1617615,0.1617615,0.9058644,10.0434746254205,10.0434746254205,29.9864314085136,2.06989172387699,7.59560267370513,0.3558753,0.2480343,0.7009665,0.539205,0.539205,0.539205
"India",2017,"Asia",0.621206505133647,"ASMQ",58728.4143457347,280000,6050,36482.4730277546,220718961.817915,173937.821437421,"Southern Asia",NA,0.315852067752122,0.315852067752122,0.827935076603556,NA,NA,NA,0.315852067752122,0.315852067752122,0.827935076603556,0.315852067752122,0.315852067752122,0.827935076603556,NA,0.549080581357166,0.286959970494995,1.50604959457966,NA,NA,NA,0.549080581357166,0.286959970494995,1.50604959457966,0.228783575565486,0.0117660124576536,1.50604959457966,10.0434746254205,10.0434746254205,29.9864314085136,2.06989172387699,7.59560267370513,0.549080581357166,0.286959970494995,1.50604959457966,0.315852067752122,0.315852067752122,0.827935076603556
"Indonesia",2022,"Asia",0.128343908382878,"ASMQ",14323.4407702508,68290,14250,1838.32636994465,26196150.7717112,8764.60550346673,"South-Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,0.23,0.8278,NA,NA,NA,0.33,0.23,0.8278,0.3,0.032,0.9,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.33,0.23,0.8278,NA,NA,NA
"Indonesia",2020,"Asia",0.0873473418714361,"ASMQ",44675.5437701482,213000,11830,3902.28999498344,46164090.6406541,18604.9838186159,"South-Eastern Asia",NA,0.5620457238,0.5620457238,0.71188711376508,NA,NA,NA,0.5620457238,0.5620457238,0.71188711376508,NA,NA,NA,2,0.2810228619,0.2810228619,0.2810228619,0.37274872402416,0.24100520636544,0.8857840607088,0.37274872402416,0.24100520636544,0.8857840607088,0.16861371714,0.0089927315808,0.8857840607088,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.2810228619,0.2810228619,0.2810228619,0.5620457238,0.5620457238,0.71188711376508
"Indonesia",2021,"Asia",0.090111190678413,"ASMQ",20974.4336949052,100000,12730,1890.03119405334,24060097.100299,9011.1190678413,"South-Eastern Asia",NA,0.539205,0.539205,0.539205,NA,NA,NA,0.539205,0.539205,0.539205,NA,NA,NA,1,0.7009665,0.7009665,0.7009665,0.3558753,0.2480343,0.7009665,0.3558753,0.2480343,0.7009665,0.1617615,0.1617615,0.9058644,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.7009665,0.7009665,0.7009665,0.539205,0.539205,0.539205
"Indonesia",2016,"Asia",0.0598763034334619,"ASMQ",41948.8673898105,200000,10150,2511.74311252235,25494192.5921018,11975.2606866924,"South-Eastern Asia",NA,0.682029985455064,0.682029985455064,0.682029985455064,NA,NA,NA,0.682029985455064,0.682029985455064,0.682029985455064,0.682029985455064,0.682029985455064,0.682029985455064,NA,0.463780390109443,0.192059643904146,1.43226296945563,NA,NA,NA,0.463780390109443,0.192059643904146,1.43226296945563,0.463780390109443,0.192059643904146,1.43226296945563,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.463780390109443,0.192059643904146,1.43226296945563,0.682029985455064,0.682029985455064,0.682029985455064
"Indonesia",2018,"Asia",0.0539370609859544,"ASMQ",69215.6311931873,330000,11320,3733.28772084827,42260817.0000025,17799.230125365,"South-Eastern Asia",NA,0.621575419832576,0.3003452428631,0.621575419832576,NA,NA,NA,0.621575419832576,0.3003452428631,0.621575419832576,0.50546513140785,0.3003452428631,0.50546513140785,NA,0.4102397770895,0.261061676329682,1.30928646433534,NA,NA,NA,0.4102397770895,0.261061676329682,1.30928646433534,0.472397319072757,0.161858239324403,1.66184404246437,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.4102397770895,0.261061676329682,1.30928646433534,0.621575419832576,0.3003452428631,0.621575419832576
"Indonesia",2014,"Asia",0.068297921766651,"ASMQ",0,0,9890,0,0,0,"South-Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.513642707202986,0.513642707202986,0.513642707202986,0.559267131051962,0.223706852420785,1.90548198571836,0.441526682409444,0.223706852420785,1.90548198571836,0.529832018891333,0.156006094451337,1.90548198571836,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.513642707202986,0.513642707202986,0.513642707202986,NA,NA,NA
"Indonesia",2013,"Asia",0.086665765752749,"ASMQ",0,0,9710,0,0,0,"South-Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.584685822158274,0.584685822158274,0.868412310595079,0.584685822158274,0.538526415145779,1.19398999472321,0.615458760166604,0.538526415145779,1.19398999472321,0.538526415145779,0.153864690041651,1.78329175758274,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.584685822158274,0.584685822158274,0.868412310595079,NA,NA,NA
"Indonesia",2015,"Asia",0.0618769481022408,"ASMQ",0,0,9880,0,0,0,"South-Eastern Asia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.576618568241062,0.309405085397643,2.1095801277112,NA,NA,NA,0.576618568241062,0.309405085397643,2.1095801277112,0.267213482843419,0.236554251654016,2.1095801277112,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.576618568241062,0.309405085397643,2.1095801277112,NA,NA,NA
"Indonesia",2019,"Asia",0.0733884680382389,"ASMQ",36076.025955237,172000,11980,2647.56427776259,31717820.0475958,12622.8165025771,"South-Eastern Asia",NA,0.589327423233252,0.589327423233252,0.589327423233252,NA,NA,NA,0.589327423233252,0.589327423233252,0.589327423233252,NA,NA,NA,1,0.412529196263276,0.412529196263276,0.412529196263276,0.447888841657271,0.412529196263276,1.28190501101697,0.447888841657271,0.247517517757966,1.28190501101697,0.447888841657271,0.00942923877173203,1.28190501101697,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.412529196263276,0.412529196263276,0.412529196263276,0.589327423233252,0.589327423233252,0.589327423233252
"Indonesia",2012,"Asia",0.0798654934004889,"ASMQ",0,0,9370,0,0,0,"South-Eastern Asia",NA,0.504195983948171,0.504195983948171,0.504195983948171,NA,NA,NA,0.504195983948171,0.504195983948171,0.504195983948171,0.504195983948171,0.504195983948171,0.504195983948171,1,0.913248438191103,0.913248438191103,0.913248438191103,0.647234895954006,0.477659353214057,2.31337932686361,1.03557583352641,0.477659353214057,2.31337932686361,1.03557583352641,0.0118120368511606,2.91255703179303,12.095367290829,12.3293550509195,38.0140114854626,2.35787665937292,9.88148309920406,0.913248438191103,0.913248438191103,0.913248438191103,0.504195983948171,0.504195983948171,0.504195983948171
