"year","health_systems_costs","monetized_dalys_averted","in_2023_prices","cash_flow","run_id"
2019,989373536.990699,32723474934.0128,93514565.4752602,31640586831.5468,69
2020,2418479980.34583,43201238492.7344,108765448.735646,40673993063.6529,69
2021,2267801532.26121,54696124607.9623,100845446.198309,52327477629.5028,69
2022,1878683616.64994,51468449817.0474,81301804.902422,49508464395.4951,69
2023,2770370013.50893,48264530586.1085,77988063,45416172509.5995,69
2000,0,0,29852923.0011034,-29852923.0011034,70
2001,0,0,50108598.4343931,-50108598.4343931,70
2002,0,0,32524926.5109877,-32524926.5109877,70
2003,0,0,61183848.4315702,-61183848.4315702,70
2004,0,0,76280271.9680802,-76280271.9680802,70
2005,0,0,114095421.233847,-114095421.233847,70
2006,0,0,71055328.531221,-71055328.531221,70
2007,0,0,173925704.21992,-173925704.21992,70
2008,0,0,118242843.004781,-118242843.004781,70
2009,0,0,85861724.9480041,-85861724.9480041,70
2010,0,0,116044460.205488,-116044460.205488,70
2011,1284786014.22975,0,128294997.271244,-1413081011.50099,70
2012,1273159778.56855,3889699179.71493,103748180.04707,2512791221.09931,70
2013,824812271.12795,4207103133.1034,106873147.128942,3275417714.8465,70
2014,1114482163.79273,16652362565.641,126230106.011086,15411650295.8372,70
2015,1066646041.29943,13167022931.8157,135116138.984205,11965260751.5321,70
2016,947584484.424498,22457446972.1743,97182201.0538521,21412680286.696,70
2017,1247512101.20935,25552843573.0726,120315216.056736,24185016255.8065,70
2018,1009105589.43546,30214225478.3557,89798807.4848151,29115321081.4354,70
2019,1355197879.06784,32723474934.0128,93514565.4752602,31274762489.4697,70
2020,1908928587.81059,43201238492.7344,108765448.735646,41183544456.1882,70
2021,1845759068.1045,54696124607.9623,100845446.198309,52749520093.6595,70
2022,2524955061.70581,51468449817.0474,81301804.902422,48862192950.4392,70
2023,2159310942.09989,48264530586.1085,77988063,46027231581.0086,70
2000,0,0,29852923.0011034,-29852923.0011034,71
2001,0,0,50108598.4343931,-50108598.4343931,71
2002,0,0,32524926.5109877,-32524926.5109877,71
2003,0,0,61183848.4315702,-61183848.4315702,71
2004,0,0,76280271.9680802,-76280271.9680802,71
2005,0,0,114095421.233847,-114095421.233847,71
2006,0,0,71055328.531221,-71055328.531221,71
2007,0,0,173925704.21992,-173925704.21992,71
2008,0,0,118242843.004781,-118242843.004781,71
2009,0,0,85861724.9480041,-85861724.9480041,71
2010,0,0,116044460.205488,-116044460.205488,71
2011,1336190699.57351,0,128294997.271244,-1464485696.84476,71
2012,1196734254.26111,3889699179.71493,103748180.04707,2589216745.40675,71
2013,914415299.771327,4207103133.1034,106873147.128942,3185814686.20313,71
2014,909001942.255036,16652362565.641,126230106.011086,15617130517.3749,71
2015,815015076.081087,13167022931.8157,135116138.984205,12216891716.7504,71
2016,967401386.697278,22457446972.1743,97182201.0538521,21392863384.4232,71
2017,1388431477.29532,25552843573.0726,120315216.056736,24044096879.7205,71
2018,1229661462.08965,30214225478.3557,89798807.4848151,28894765208.7812,71
2019,1424609115.21773,32723474934.0128,93514565.4752602,31205351253.3198,71
2020,1788361711.04262,43201238492.7344,108765448.735646,41304111332.9561,71
2021,2445575952.44643,54696124607.9623,100845446.198309,52149703209.3175,71
2022,2032880721.11287,51468449817.0474,81301804.902422,49354267291.0322,71
2023,2397475418.08523,48264530586.1085,77988063,45789067105.0232,71
2000,0,0,29852923.0011034,-29852923.0011034,72
2001,0,0,50108598.4343931,-50108598.4343931,72
2002,0,0,32524926.5109877,-32524926.5109877,72
2003,0,0,61183848.4315702,-61183848.4315702,72
2004,0,0,76280271.9680802,-76280271.9680802,72
2005,0,0,114095421.233847,-114095421.233847,72
2006,0,0,71055328.531221,-71055328.531221,72
2007,0,0,173925704.21992,-173925704.21992,72
2008,0,0,118242843.004781,-118242843.004781,72
2009,0,0,85861724.9480041,-85861724.9480041,72
2010,0,0,116044460.205488,-116044460.205488,72
2011,1099150995.74283,0,128294997.271244,-1227445993.01408,72
2012,1084768553.85632,3889699179.71493,103748180.04707,2701182445.81154,72
2013,1101696225.39496,4207103133.1034,106873147.128942,2998533760.5795,72
2014,1504145454.77481,16652362565.641,126230106.011086,15021987004.8551,72
2015,929347749.488789,13167022931.8157,135116138.984205,12102559043.3427,72
2016,1179612202.86666,22457446972.1743,97182201.0538521,21180652568.2538,72
2017,1636922227.84694,25552843573.0726,120315216.056736,23795606129.1689,72
2018,1259204330.16307,30214225478.3557,89798807.4848151,28865222340.7078,72
2019,1447186805.80491,32723474934.0128,93514565.4752602,31182773562.7326,72
2020,1835378420.18686,43201238492.7344,108765448.735646,41257094623.8119,72
2021,2376275551.42081,54696124607.9623,100845446.198309,52219003610.3432,72
2022,1727198019.8932,51468449817.0474,81301804.902422,49659949992.2518,72
2023,2158874258.05144,48264530586.1085,77988063,46027668265.057,72
2000,0,0,29852923.0011034,-29852923.0011034,73
2001,0,0,50108598.4343931,-50108598.4343931,73
2002,0,0,32524926.5109877,-32524926.5109877,73
2003,0,0,61183848.4315702,-61183848.4315702,73
2004,0,0,76280271.9680802,-76280271.9680802,73
2005,0,0,114095421.233847,-114095421.233847,73
2006,0,0,71055328.531221,-71055328.531221,73
2007,0,0,173925704.21992,-173925704.21992,73
2008,0,0,118242843.004781,-118242843.004781,73
2009,0,0,85861724.9480041,-85861724.9480041,73
2010,0,0,116044460.205488,-116044460.205488,73
2011,1056582366.03316,0,128294997.271244,-1184877363.3044,73
2012,1168155197.6893,3889699179.71493,103748180.04707,2617795801.97855,73
2013,859602641.934727,4207103133.1034,106873147.128942,3240627344.03973,73
2014,966040870.337718,16652362565.641,126230106.011086,15560091589.2922,73
2015,915684916.576041,13167022931.8157,135116138.984205,12116221876.2555,73
2016,892304396.284865,22457446972.1743,97182201.0538521,21467960374.8356,73
2017,1538718248.67523,25552843573.0726,120315216.056736,23893810108.3406,73
2018,1466890776.34794,30214225478.3557,89798807.4848151,28657535894.5229,73
2019,1410318211.48491,32723474934.0128,93514565.4752602,31219642157.0526,73
2020,1987508491.20816,43201238492.7344,108765448.735646,41104964552.7906,73
2021,1995157663.36278,54696124607.9623,100845446.198309,52600121498.4012,73
2022,2199449579.60408,51468449817.0474,81301804.902422,49187698432.541,73
2023,2723130600.30766,48264530586.1085,77988063,45463411922.8008,73
2000,0,0,29852923.0011034,-29852923.0011034,74
2001,0,0,50108598.4343931,-50108598.4343931,74
2002,0,0,32524926.5109877,-32524926.5109877,74
2003,0,0,61183848.4315702,-61183848.4315702,74
2004,0,0,76280271.9680802,-76280271.9680802,74
2005,0,0,114095421.233847,-114095421.233847,74
2006,0,0,71055328.531221,-71055328.531221,74
