"run_id","code","health_systems_costs","monetized_dalys_averted","dalys_averted"
5,"PNG",10398156.2833873,11814649.7074444,2932.50113703009
5,"RWA",149085937.142594,3227650552.37237,801131.573863238
5,"SLB",1066182.59535009,1120108.73956263,278.020951420595
5,"TZA",715131023.066288,13761740308.3285,3415786.34161771
5,"UGA",1037034910.24364,21450438588.6285,5324189.63816689
5,"VEN",5683199.3013102,2501365.17907772,620.861084620305
5,"YEM",7194395.04662254,7610142.9128678,1888.90515568012
6,"AFG",975783.253893695,3615718.8059306,897.453565880295
6,"AGO",1631964792.85671,13343686299.5804,3312021.61846884
6,"BEN",329223623.30725,7926255464.38368,1967367.10247535
6,"BFA",686741293.372976,14262008046.4322,3539957.24360257
6,"BGD",86674.9960661987,111639.123792078,27.7098234449582
6,"BRA",736959.516387992,1468197.95306894,364.419790122685
6,"CIV",837610031.005162,13716705998.6561,3404608.42542131
6,"CMR",841421508.285269,12111557584.8726,3006196.31291015
6,"COD",1191125889.26429,55192606044.589,13699295.703996
6,"COL",5058969.25215904,920394.953334239,228.450213421794
6,"ETH",452977034.709994,7289158339.63901,1809233.92976392
6,"GHA",794433044.416768,12895020162.1306,3200658.69271156
6,"GIN",198386603.216553,3870005539.12022,960569.794687347
6,"GUY",139135.162041189,154011.8278924,38.2271054660188
6,"HTI",100323.032621117,196334.5394715,48.7319788986779
6,"IDN",8883764.68073591,7347957.62044583,1823.82843422171
6,"IND",558461587.253148,4166695279.94088,1034210.82712131
6,"KHM",371028.449294338,771789.788195138,191.56508973807
6,"MDG",77657889.4201381,2827178903.28353,701730.948759527
6,"MLI",562911195.66007,13851314286.9697,3438019.39978853
6,"MMR",1810510.21481004,2376622.31666862,589.898796705784
6,"MOZ",545438051.410845,16934526024.0629,4203299.97505885
6,"MWI",162131730.001357,2369434834.06672,588114.799598433
6,"NER",398208763.364462,14110557910.7145,3502365.97291803
6,"NGA",8782242183.14588,113135623953.678,28081268.0949586
6,"NIC",105888.382806951,111059.882088738,27.5660505024062
6,"PAK",11655273.8663278,11880621.009992,2948.875801072
6,"PER",738822.300045238,357535.933535208,88.7435986325069
6,"PNG",6853922.17635008,11814649.7074444,2932.50113703009
6,"RWA",137480104.998621,3227650552.37237,801131.573863238
6,"SLB",989519.554598908,1120108.73956263,278.020951420595
6,"TZA",616541094.979377,13761740308.3285,3415786.34161771
6,"UGA",1103740837.25032,21450438588.6285,5324189.63816689
6,"VEN",5582072.21224988,2501365.17907772,620.861084620305
6,"YEM",5867897.03508873,7610142.9128678,1888.90515568012
7,"AFG",899109.044392659,3615718.8059306,897.453565880295
7,"AGO",1668019058.16531,13343686299.5804,3312021.61846884
