"country","year","region","sub_region","distribution","treatment","dalys_averted","doses","daly","dalys_averted_country","dalys_monetized_1","doses_country","mode_sub_region_t","mini_t_price_sub_region","maxi_t_price_sub_region","mode_region_t","mini_t_price_region","maxi_t_price_region","mode_country_t","mini_t_price_country","maxi_t_price_country","mode_global_t","mini_t_price_global","maxi_t_price_global","n_t_cost","n_rdt","mode_country_rdt","mini_rdt_price_country","maxi_rdt_price_country","mode_sub_region_rdt","mini_rdt_price_sub_region","maxi_rdt_price_sub_region","mode_region_rdt","mini_rdt_price_region","maxi_rdt_price_region","mode_global_rdt","mini_rdt_price_global","maxi_rdt_price_global","average_model_prediction","average_mean_value_from_sample","average_high_95_unc_interval","average_low_95_unc_interval","average_sd","mode_country_rdt_imputed","mini_rdt_price_country_imputed","maxi_rdt_price_country_imputed","mode_country_t_imputed","mini_t_price_country_imputed","maxi_t_price_country_imputed"
"Papua New Guinea",2011,"Oceania","Melanesia",0.0353417886202895,"AS-PYR",0,0,2660,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.30717112950621,1.30717112950621,1.30717112950621,1.30717112950621,1.30717112950621,1.30717112950621,1.30717112950621,1.30717112950621,1.30717112950621,1.7887604930085,0.564147540102682,2.93821110596772,7.46960926442566,7.36161491361468,22.444825910214,1.51192091135363,5.70570153451309,1.30717112950621,1.30717112950621,1.30717112950621,NA,NA,NA
"Papua New Guinea",2016,"Oceania","Melanesia",0.0665733035637488,"AS-PYR",0,0,3810,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341014992727532,0.341014992727532,0.341014992727532,NA,NA,NA,0.341014992727532,0.341014992727532,0.341014992727532,0.463780390109443,0.192059643904146,1.43226296945563,7.46960926442566,7.36161491361468,22.444825910214,1.51192091135363,5.70570153451309,0.341014992727532,0.341014992727532,0.341014992727532,NA,NA,NA
"Papua New Guinea",2022,"Oceania","Melanesia",0.184300076051537,"AS-PYR",656460.588261158,3224856,4270,120985.736341368,516609094.177643,594341.206055257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.2952,0.2952,0.35,0.2952,0.2952,0.35,0.2952,0.2952,0.35,0.3,0.032,0.9,7.46960926442566,7.36161491361468,22.444825910214,1.51192091135363,5.70570153451309,0.2952,0.2952,0.35,NA,NA,NA
"Papua New Guinea",2012,"Oceania","Melanesia",0.0555384152764597,"AS-PYR",0,0,2890,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1.22974630231261,0.728139257948257,1.22974630231261,1.22974630231261,0.728139257948257,1.22974630231261,1.22974630231261,0.728139257948257,1.22974630231261,1.03557583352641,0.0118120368511606,2.91255703179303,7.46960926442566,7.36161491361468,22.444825910214,1.51192091135363,5.70570153451309,1.22974630231261,0.728139257948257,1.22974630231261,NA,NA,NA
"Papua New Guinea",2015,"Oceania","Melanesia",0.0526693502787693,"AS-PYR",0,0,3640,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.435979893060315,0.435979893060315,0.435979893060315,0.435979893060315,0.435979893060315,0.435979893060315,0.435979893060315,0.435979893060315,0.435979893060315,0.267213482843419,0.236554251654016,2.1095801277112,7.46960926442566,7.36161491361468,22.444825910214,1.51192091135363,5.70570153451309,0.435979893060315,0.435979893060315,0.435979893060315,NA,NA,NA
"Papua New Guinea",2013,"Oceania","Melanesia",0.0804714442868317,"AS-PYR",0,0,2880,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.69239110518743,0.688390623246347,0.69239110518743,0.69239110518743,0.688390623246347,0.69239110518743,0.69239110518743,0.688390623246347,0.69239110518743,0.538526415145779,0.153864690041651,1.78329175758274,7.46960926442566,7.36161491361468,22.444825910214,1.51192091135363,5.70570153451309,0.69239110518743,0.688390623246347,0.69239110518743,NA,NA,NA
"Papua New Guinea",2018,"Oceania","Melanesia",0.105983588893035,"AS-PYR",10178.1380046296,50000,3860,1078.71559397924,4163842.19275986,5299.17944465174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.348082235106242,0.348082235106242,0.348082235106242,0.348082235106242,0.348082235106242,0.348082235106242,0.348082235106242,0.348082235106242,0.348082235106242,0.472397319072757,0.161858239324403,1.66184404246437,7.46960926442566,7.36161491361468,22.444825910214,1.51192091135363,5.70570153451309,0.348082235106242,0.348082235106242,0.348082235106242,NA,NA,NA
"Papua New Guinea",2021,"Oceania","Melanesia",0.137349298604982,"AS-PYR",122137.656055556,600000,3880,16775.521392487,65089023.0028497,82409.579162989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.3774435,0.282112056,0.3774435,0.282112056,0.282112056,0.3774435,0.282112056,0.282112056,0.3774435,0.1617615,0.1617615,0.9058644,7.46960926442566,7.36161491361468,22.444825910214,1.51192091135363,5.70570153451309,0.3774435,0.282112056,0.3774435,NA,NA,NA
"Peru",2015,"Americas","Latin America and the Caribbean",0.00517307131106425,"AS-PYR",0,0,11090,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01259846130138,1.01259846130138,1.01259846130138,NA,NA,NA,1.01259846130138,1.01259846130138,1.01259846130138,0.267213482843419,0.236554251654016,2.1095801277112,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,1.01259846130138,1.01259846130138,1.01259846130138,NA,NA,NA
"Peru",2020,"Americas","Latin America and the Caribbean",0.00337729551352775,"AS-PYR",234097.174106481,1150000,11500,790.615335839343,9092076.36215244,3883.88984055691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3979283724504,0.19514227530336,0.8430685857,NA,NA,NA,0.3979283724504,0.19514227530336,0.8430685857,0.16861371714,0.0089927315808,0.8857840607088,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,0.3979283724504,0.19514227530336,0.8430685857,NA,NA,NA
