code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20152.35178,19622.30877,18950.93886,19098.36056,19769.55704,20721.79816,21647.20034,21971.48085,22937.07494,24592.39101,25851.35424,26796.51895,27630.61668,27487.83166,28127.09933,29635.5366,30915.41978,31760.08446,31197.2231,29690.16228,30125.76084,30582.04731,31100.56608,30127.54543,31321.70251,31687.72405,31916.25176,33703.22268,34668.80918,35406.57391,26141.453,29340.47235,34719.28477,36742.06204
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1042.54532,974.9252235,982.2480423,1066.761992,1269.027642,1506.508531,2268.080538,3040.395373,3523.082466,3874.341356,4147.038135,4307.123118,4664.685121,4917.864024,5408.161505,5955.839207,6870.506528,7686.413935,8586.778048,8693.618397,9086.748535,9761.515196,10121.15564,10808.31175,11167.86749,11848.64488,12899.38214,13627.13533,14858.59359,16428.72167,16369.92946,18270.33518,21099.48791,22391.09784
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5220.474731,5329.797816,4917.121152,4640.856639,4190.323893,3845.706816,4039.340424,4596.48616,5061.33499,5331.417437,5795.652242,6238.09863,6697.154364,7361.721616,8482.920202,9636.891124,10994.59813,12320.02403,13886.1314,14034.19112,15339.0999,16563.20141,18114.75086,19014.05297,19037.82095,18133.56963,17832.47789,18413.71274,20026.03067,22301.57669,24872.3399,27611.18011,28429.49488,30763.01982
BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4473.902909,5060.510706,5714.306214,6083.96778,6081.740728,6100.070488,6096.384372,6252.020013,6342.855849,6800.701347,7555.134334,7863.517145,8165.866019,8863.005408,9258.882961,9480.480682,9924.689201,10242.84756,9985.978816,9744.230205,9734.892397,9697.853439,9266.091461,9514.403543,9489.946832,9538.190541,9401.53294,9121.747164,9527.70914,10531.32344,9618.016435,11677.46101,13465.98071,13823.43795
BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35944.53835,35583.99186,36109.73286,37812.99849,38603.85388,40917.61041,42545.12022,44995.78546,46915.84584,48798.90501,54176.37775,59092.87597,58862.6908,61829.32401,64790.27392,67771.46837,73590.11607,77894.06462,77556.435,73336.98752,72188.69283,70911.54232,69149.05003,71519.63985,71988.53836,75943.4643,80412.18349,85680.97019,85978.21772,90984.45767,85143.71792,92276.2346,105048.434,108810.9984
BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2284.012683,2434.347096,2479.710288,2594.877374,2720.803788,2853.394103,2976.76635,3121.245299,3257.049132,3259.829448,3359.095105,3434.144156,3514.914263,3620.337722,3808.218004,4032.726398,4282.871648,4521.67932,4810.278583,4919.810319,5100.527572,5388.512935,5866.984142,6589.671455,7047.201529,7152.04465,7547.903768,8510.266856,8952.587853,9174.445635,8293.991212,9454.198147,10371.9629,10925.27305
BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6687.922948,6866.630381,6869.410006,7259.988857,7727.245417,8096.911492,8300.634142,8601.609031,8598.805693,8634.607846,9091.768514,9303.645292,9616.594855,9801.962125,10525.71138,11081.24747,11750.53124,12672.50512,13445.24547,13390.68313,14451.71584,15211.79204,15198.08633,15722.33353,15827.30816,14821.43832,14309.20615,14559.04889,15463.74264,16069.83802,16101.61831,18075.70601,19876.85335,21107.2821
BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11071.64797,10966.13883,10541.23244,10845.00634,11273.68294,11723.09404,12400.82239,13207.17801,13851.24545,14089.91525,15075.95094,15030.00683,15283.41187,15826.66348,16387.82599,17478.13022,19019.13368,19846.04224,20250.11417,19253.2687,18977.54268,19165.01013,17936.99373,18004.66912,17752.51772,17804.749,18013.67344,17898.89946,18551.16865,18760.37001,15824.49107,15683.88471,19786.36152,21336.15756
BRN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70200.74062,72609.80624,70015.77112,69387.25635,69778.57689,70440.02191,70007.64124,73980.41134,68256.86997,70584.60971,73086.93198,74253.88172,76838.17586,79632.1722,80403.75793,81534.17166,86114.33722,83693.32134,80476.72489,77957.14426,79542.67788,82735.39148,87256.04223,83237.14709,81225.54848,62707.82636,56679.51858,61657.68028,65148.82645,69353.67987,69787.96334,78248.79711,81801.74591,85267.55305
BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637.871812,1656.841738,1840.090349,2001.134674,2145.745669,2373.568468,2547.838123,2682.594784,2818.995727,3017.488763,3113.04544,3338.492472,3662.80907,3942.281448,4172.78217,4523.359705,4860.270175,5728.915698,6035.21741,6466.097449,7245.772639,7935.467612,8577.407319,8666.910636,9323.39449,10213.81396,11273.28238,11677.41427,11969.5615,12909.10098,12475.048,13458.81266,15063.81057,
BWA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5978.019273,6462.664269,6614.072311,6705.818634,6903.476051,7348.390893,7727.98814,8321.924871,8267.583393,8998.587356,9187.351865,9225.958581,9752.835663,10223.95502,10595.54855,11222.44602,12304.45122,13113.23185,13526.17364,11445.7128,12491.15808,13355.16084,12474.79251,13341.17701,15003.31975,14143.69407,16228.12312,15700.66505,15785.81963,15960.01561,15292.30284,17961.35762,19977.65085,20916.40155
CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.3911765,618.179518,573.1505893,570.2456378,592.1854376,630.6916814,600.7729679,626.0784538,645.1299944,659.524563,639.836997,668.4459393,688.1804511,648.1932154,690.426514,702.4606246,743.2874802,783.3554453,797.6528062,877.2521311,936.4854974,980.185521,1062.068099,709.8534812,698.9637389,768.870888,826.0133014,883.8107349,905.8177889,984.8431837,1066.290054,1128.55238,1218.434221,1259.8244
CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20229.75587,20224.68733,20626.20206,21440.04699,22632.83409,23485.64193,24050.17501,25258.86056,26319.67416,27841.35335,29362.08416,30230.84877,30963.92189,32351.5457,33927.6697,36328.37899,38119.39096,39575.47701,40376.08828,38864.0567,40098.25372,41666.83746,42291.97294,44301.05625,45758.10073,44669.45136,46470.64664,48317.38745,49982.59991,50498.97311,48590.68321,56547.80056,62707.9414,63419.08174
CEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7527.912899,6973.514608,6828.868823,7019.514447,7435.658185,8012.932873,8420.407281,8722.556586,9114.52143,9415.724563,10034.38085,10820.69439,11640.65286,12343.80353,13495.97208,14309.68726,15919.83382,17751.93313,19674.30427,19702.76114,20871.65642,22368.31652,23165.75334,23916.31103,25003.28685,26231.89548,27872.2527,29978.67983,32217.91275,35739.85036,36170.29477,39925.69974,44645.98004,46280.66364
CHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28442.3316,28773.01394,29093.32385,29475.75005,30245.37597,30821.43705,31497.74196,32728.01142,33857.65317,34742.63186,36695.20706,37822.92751,38704.95846,38737.30793,40176.57074,41524.84887,46275.54948,50929.4927,53808.78411,52971.37328,54432.33308,57493.58106,59440.91586,61656.46617,63417.04372,65282.58419,67350.75187,68193.50549,70688.81875,73732.23533,72997.82395,80739.62293,90138.94885,89314.90315
CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4405.914016,4836.284282,5492.869469,5982.351655,6426.142226,7194.999039,7895.436781,8510.666985,8850.491716,8838.759172,9375.590084,9775.553235,10133.40411,10708.82365,11612.39969,12550.4348,15510.77007,16697.51602,16375.96485,15951.33049,17917.89512,20121.68342,21366.17713,22201.06607,22553.61618,22457.88006,23256.5036,24295.22377,25305.09035,25611.75783,25350.86351,29132.87799,30944.63587,32893.42797
CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.5092026,1093.667035,1262.141127,1454.624662,1660.495121,1860.687308,2061.043701,2266.922351,2448.650943,2650.514524,2917.602155,3208.585838,3532.315658,3939.018856,4427.657138,5056.987526,5843.353091,6820.040847,7583.348896,8305.8411,9256.103882,10292.94048,11233.97277,12011.68059,12700.44402,13201.67383,13882.02805,14750.36583,16006.91312,17262.1759,17891.48029,20406.72966,22509.63635,24569.28651
CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2693.361466,2677.07472,2624.524223,2576.993402,2550.992224,2683.320976,2831.799037,3039.524739,3086.127664,3064.799448,3040.575932,2961.762873,2851.030414,2701.741685,2794.173257,2841.823088,2941.821412,2984.534722,3115.837892,3176.632424,3360.544088,3175.919224,3290.723069,3619.017909,4074.214455,4403.642966,4530.648498,4690.178019,4945.625206,5516.390551,5543.850963,6045.204805,6707.947952,7197.690104
CMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2031.909988,1962.540638,1890.092531,1731.408731,1751.68523,1790.33915,1849.5065,1915.117607,1975.155989,2038.663789,2108.49455,2190.896407,2263.055197,2368.101195,2532.647444,2597.680399,2704.437398,2817.722281,2870.441069,2878.951439,2913.942928,2988.817287,3059.642266,3238.868298,3422.261282,3497.660676,3626.99932,3767.430729,4010.763601,4241.111749,4365.447041,4793.556282,5188.977509,5405.574657
COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832.0703959,761.9778481,674.3415166,576.3727675,539.5690413,532.1807152,526.1664379,497.1220628,481.2892119,451.8260051,416.5493376,403.9842859,409.6429382,428.3336256,455.8677865,483.9113295,509.427783,539.4126385,566.6853821,568.6095678,597.0887408,630.2848806,632.2020761,712.4390067,804.5966346,859.1434827,913.9555594,1003.257355,1069.281634,1167.320616,1136.008396,1313.618218,1484.241166,1615.750705
