"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_2","Relative_All AL disp",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_2","Relative_All AL disp",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_2","Relative_All AL disp",1
2011,1259153776.98303,0,94800366.448838,-1353954143.43187,"dalys_monetized_2","Relative_All AL disp",1
2012,1107125528.02065,1714822287.84192,77163299.4713698,530533460.349901,"dalys_monetized_2","Relative_All AL disp",1
2013,615857943.135904,1935413247.21228,81645883.5960594,1237909420.48032,"dalys_monetized_2","Relative_All AL disp",1
2014,963273265.682497,7494572313.42916,97376711.6301935,6433922336.11647,"dalys_monetized_2","Relative_All AL disp",1
2015,1059913949.32767,5787943312.36195,104507974.159771,4623521388.87451,"dalys_monetized_2","Relative_All AL disp",1
2016,1005892889.74956,8878257110.05148,86919026.0354905,7785445194.26643,"dalys_monetized_2","Relative_All AL disp",1
2017,1490934492.60661,9958155018.4519,85429646.7507117,8381790879.09459,"dalys_monetized_2","Relative_All AL disp",1
2018,1141366271.04206,11070855151.7698,74774845.8504308,9854714034.87733,"dalys_monetized_2","Relative_All AL disp",1
2019,1336268463.04083,11535303537.1725,79415904.3850866,10119619169.7466,"dalys_monetized_2","Relative_All AL disp",1
2020,2365815910.11078,15535912687.7794,93247509.3943228,13076849268.2743,"dalys_monetized_2","Relative_All AL disp",1
2021,1896318128.33541,18482993171.3638,90669963.93291,16496005079.0955,"dalys_monetized_2","Relative_All AL disp",1
2022,1955029047.19919,19382151444.0691,79034512.32,17348087884.5499,"dalys_monetized_2","Relative_All AL disp",1
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_3","Relative_All AL disp",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_3","Relative_All AL disp",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_3","Relative_All AL disp",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_3","Relative_All AL disp",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_3","Relative_All AL disp",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_3","Relative_All AL disp",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_3","Relative_All AL disp",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_3","Relative_All AL disp",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_3","Relative_All AL disp",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_3","Relative_All AL disp",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_3","Relative_All AL disp",1
2011,858917291.041129,0,94800366.448838,-953717657.489967,"dalys_monetized_3","Relative_All AL disp",1
2012,1135685059.5689,2526996762.37798,77163299.4713698,1314148403.33771,"dalys_monetized_3","Relative_All AL disp",1
2013,739792979.807995,2858281036.51702,81645883.5960594,2036842173.11297,"dalys_monetized_3","Relative_All AL disp",1
2014,992810324.323387,11100348688.4127,97376711.6301935,10010161652.4591,"dalys_monetized_3","Relative_All AL disp",1
2015,1018069203.26857,8554460431.42068,104507974.159771,7431883253.99233,"dalys_monetized_3","Relative_All AL disp",1
2016,824467587.10399,12975976619.2635,86919026.0354905,12064590006.124,"dalys_monetized_3","Relative_All AL disp",1
2017,1412099280.65644,14432427579.7973,85429646.7507117,12934898652.3902,"dalys_monetized_3","Relative_All AL disp",1
2018,1278932660.75744,15929853516.0621,74774845.8504308,14576146009.4542,"dalys_monetized_3","Relative_All AL disp",1
2019,1578261794.53958,16609434665.2413,79415904.3850866,14951756966.3167,"dalys_monetized_3","Relative_All AL disp",1
